,Month,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Easting,Northing,geometry
42,2021-05,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Violence and sexual offences,532459.0011416395,181727.9993500635,POINT (532459.0011416395 181727.9993500635)
47,2021-05,-0.094468,51.521853,On or near Golden Lane,E01000003,City of London 001C,Violence and sexual offences,532299.9733766841,182047.00892129523,POINT (532299.9733766841 182047.00892129523)
74,2021-05,-0.07421,51.511711,On or near Portsoken Street,E01000005,City of London 001E,Violence and sexual offences,533735.009271309,180955.98240550578,POINT (533735.009271309 180955.98240550578)
75,2021-05,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Violence and sexual offences,533575.0201661547,181164.98652681406,POINT (533575.0201661547 181164.98652681406)
76,2021-05,-0.075722,51.511053000000004,On or near Crescent,E01000005,City of London 001E,Violence and sexual offences,533632.0183013633,180880.05126166478,POINT (533632.0183013633 180880.05126166478)
77,2021-05,-0.07306499999999999,51.511179999999996,On or near Goodman'S Yard,E01000005,City of London 001E,Violence and sexual offences,533816.0135181514,180899.02510283707,POINT (533816.0135181514 180899.02510283707)
263,2021-05,-0.084701,51.50932,On or near Lower Thames Street,E01032739,City of London 001F,Violence and sexual offences,533014.0158121844,180670.99260853208,POINT (533014.0158121844 180670.99260853208)
264,2021-05,-0.095015,51.513220000000004,On or near Watling Street,E01032739,City of London 001F,Violence and sexual offences,532287.017996063,181086.00432773988,POINT (532287.017996063 181086.00432773988)
265,2021-05,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Violence and sexual offences,532662.0147967981,181519.97445379576,POINT (532662.0147967981 181519.97445379576)
266,2021-05,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Violence and sexual offences,533330.986923037,181598.02039484447,POINT (533330.986923037 181598.02039484447)
267,2021-05,-0.088995,51.512088,On or near St Swithin'S Lane,E01032739,City of London 001F,Violence and sexual offences,532708.0091989241,180971.01301046158,POINT (532708.0091989241 180971.01301046158)
268,2021-05,-0.08329600000000001,51.517058,On or near Old Broad Street,E01032739,City of London 001F,Violence and sexual offences,533088.9742377307,181534.03291548556,POINT (533088.9742377307 181534.03291548556)
269,2021-05,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
270,2021-05,-0.09472,51.51442,On or near Wood Street,E01032739,City of London 001F,Violence and sexual offences,532304.012659173,181219.98085686757,POINT (532304.012659173 181219.98085686757)
271,2021-05,-0.08778,51.508066,On or near Borough High Street,E01032739,City of London 001F,Violence and sexual offences,532804.0015965193,180525.95716714335,POINT (532804.0015965193 180525.95716714335)
272,2021-05,-0.09472,51.51442,On or near Wood Street,E01032739,City of London 001F,Violence and sexual offences,532304.012659173,181219.98085686757,POINT (532304.012659173 181219.98085686757)
273,2021-05,-0.104001,51.513051000000004,On or near Apothecary Street,E01032739,City of London 001F,Violence and sexual offences,531664.0012023612,181051.01892134378,POINT (531664.0012023612 181051.01892134378)
274,2021-05,-0.094628,51.514203,On or near Cheapside,E01032739,City of London 001F,Violence and sexual offences,532311.0243018698,181196.01599001262,POINT (532311.0243018698 181196.01599001262)
275,2021-05,-0.08778,51.508066,On or near Borough High Street,E01032739,City of London 001F,Violence and sexual offences,532804.0015965193,180525.95716714335,POINT (532804.0015965193 180525.95716714335)
276,2021-05,-0.085173,51.518679999999996,On or near Finsbury Avenue,E01032739,City of London 001F,Violence and sexual offences,532954.02788555,181710.99485246558,POINT (532954.02788555 181710.99485246558)
277,2021-05,-0.084768,51.512882,On or near Corbet Court,E01032739,City of London 001F,Violence and sexual offences,532999.0003738902,181066.9755308744,POINT (532999.0003738902 181066.9755308744)
278,2021-05,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Violence and sexual offences,532445.0019505254,180752.0551337878,POINT (532445.0019505254 180752.0551337878)
279,2021-05,-0.082965,51.516351,On or near Wormwood Street,E01032739,City of London 001F,Violence and sexual offences,533113.9986841358,181456.01400417095,POINT (533113.9986841358 181456.01400417095)
280,2021-05,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Violence and sexual offences,533330.986923037,181598.02039484447,POINT (533330.986923037 181598.02039484447)
281,2021-05,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Violence and sexual offences,533291.0216167183,181560.027059838,POINT (533291.0216167183 181560.027059838)
282,2021-05,-0.094628,51.514203,On or near Cheapside,E01032739,City of London 001F,Violence and sexual offences,532311.0243018698,181196.01599001262,POINT (532311.0243018698 181196.01599001262)
283,2021-05,-0.088995,51.512088,On or near St Swithin'S Lane,E01032739,City of London 001F,Violence and sexual offences,532708.0091989241,180971.01301046158,POINT (532708.0091989241 180971.01301046158)
284,2021-05,-0.08778,51.508066,On or near Borough High Street,E01032739,City of London 001F,Violence and sexual offences,532804.0015965193,180525.95716714335,POINT (532804.0015965193 180525.95716714335)
285,2021-05,-0.08778,51.508066,On or near Borough High Street,E01032739,City of London 001F,Violence and sexual offences,532804.0015965193,180525.95716714335,POINT (532804.0015965193 180525.95716714335)
286,2021-05,-0.081091,51.516014,On or near Camomile Street,E01032739,City of London 001F,Violence and sexual offences,533245.0017535442,181421.9464228017,POINT (533245.0017535442 181421.9464228017)
287,2021-05,-0.082458,51.517431,On or near Liverpool Street,E01032739,City of London 001F,Violence and sexual offences,533146.0278776218,181577.03479509754,POINT (533146.0278776218 181577.03479509754)
288,2021-05,-0.086624,51.511922999999996,On or near Clement'S Lane,E01032739,City of London 001F,Violence and sexual offences,532873.0072493302,180956.96324222296,POINT (532873.0072493302 180956.96324222296)
289,2021-05,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
290,2021-05,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
291,2021-05,-0.08778,51.508066,On or near Borough High Street,E01032739,City of London 001F,Violence and sexual offences,532804.0015965193,180525.95716714335,POINT (532804.0015965193 180525.95716714335)
344,2021-05,-0.108418,51.513581,On or near Lombard Lane,E01032740,City of London 001G,Violence and sexual offences,531355.9978976556,181102.02562308835,POINT (531355.9978976556 181102.02562308835)
345,2021-05,-0.107793,51.51545,On or near East Harding Street,E01032740,City of London 001G,Violence and sexual offences,531393.9899141671,181310.98560441937,POINT (531393.9899141671 181310.98560441937)
346,2021-05,-0.11251900000000001,51.517568,On or near Southampton Buildings,E01032740,City of London 001G,Violence and sexual offences,531060.0117478663,181538.04632332234,POINT (531060.0117478663 181538.04632332234)
347,2021-05,-0.1043,51.511761,On or near Pedestrian Subway,E01032740,City of London 001G,Violence and sexual offences,531646.9705957596,180907.02937682922,POINT (531646.9705957596 180907.02937682922)
348,2021-05,-0.104621,51.512692,On or near Supermarket,E01032740,City of London 001G,Violence and sexual offences,531622.015576161,181009.98261182365,POINT (531622.015576161 181009.98261182365)
363,2021-05,-0.075991,51.518017,On or near Tenter Ground,E01004307,Tower Hamlets 015B,Violence and sexual offences,533592.9919632743,181653.9767417761,POINT (533592.9919632743 181653.9767417761)
1,2021-06,-0.11196199999999999,51.518494,On or near Nightclub,E01000914,Camden 028B,Violence and sexual offences,531095.9993709371,181642.01755463035,POINT (531095.9993709371 181642.01755463035)
21,2021-06,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Violence and sexual offences,532124.0324678012,181314.00203001354,POINT (532124.0324678012 181314.00203001354)
22,2021-06,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violence and sexual offences,532093.9750344312,181709.03752922273,POINT (532093.9750344312 181709.03752922273)
36,2021-06,-0.092297,51.518949,On or near Park/Open Space,E01000002,City of London 001B,Violence and sexual offences,532459.0011416395,181727.9993500635,POINT (532459.0011416395 181727.9993500635)
37,2021-06,-0.094115,51.516496999999994,On or near Wood Street,E01000002,City of London 001B,Violence and sexual offences,532339.9747683145,181452.04271123657,POINT (532339.9747683145 181452.04271123657)
48,2021-06,-0.09586,51.52166,On or near Fann Street,E01000003,City of London 001C,Violence and sexual offences,532203.9647225853,182023.03286533535,POINT (532203.9647225853 182023.03286533535)
95,2021-06,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Violence and sexual offences,533653.013425252,180960.94725061586,POINT (533653.013425252 180960.94725061586)
96,2021-06,-0.07306499999999999,51.511179999999996,On or near Goodman'S Yard,E01000005,City of London 001E,Violence and sexual offences,533816.0135181514,180899.02510283707,POINT (533816.0135181514 180899.02510283707)
97,2021-06,-0.073152,51.512206,On or near Mansell Street,E01000005,City of London 001E,Violence and sexual offences,533806.9726516522,181012.96012620896,POINT (533806.9726516522 181012.96012620896)
98,2021-06,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Violence and sexual offences,533575.0201661547,181164.98652681406,POINT (533575.0201661547 181164.98652681406)
99,2021-06,-0.07306499999999999,51.511179999999996,On or near Goodman'S Yard,E01000005,City of London 001E,Violence and sexual offences,533816.0135181514,180899.02510283707,POINT (533816.0135181514 180899.02510283707)
100,2021-06,-0.076459,51.513061,On or near Further/Higher Educational Building,E01000005,City of London 001E,Violence and sexual offences,533575.0093025623,181102.00198314857,POINT (533575.0093025623 181102.00198314857)
101,2021-06,-0.073254,51.512856,On or near Mansell Street,E01000005,City of London 001E,Violence and sexual offences,533797.9920780913,181085.05554956,POINT (533797.9920780913 181085.05554956)
102,2021-06,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Violence and sexual offences,533575.0201661547,181164.98652681406,POINT (533575.0201661547 181164.98652681406)
103,2021-06,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Violence and sexual offences,533575.0201661547,181164.98652681406,POINT (533575.0201661547 181164.98652681406)
104,2021-06,-0.075389,51.511775,On or near Minories,E01000005,City of London 001E,Violence and sexual offences,533653.013425252,180960.94725061586,POINT (533653.013425252 180960.94725061586)
105,2021-06,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Violence and sexual offences,533575.0201661547,181164.98652681406,POINT (533575.0201661547 181164.98652681406)
106,2021-06,-0.073254,51.512856,On or near Mansell Street,E01000005,City of London 001E,Violence and sexual offences,533797.9920780913,181085.05554956,POINT (533797.9920780913 181085.05554956)
107,2021-06,-0.07495800000000001,51.514151,On or near Aldgate High Street,E01000005,City of London 001E,Violence and sexual offences,533675.9694068158,181225.9515725124,POINT (533675.9694068158 181225.9515725124)
108,2021-06,-0.07495800000000001,51.514151,On or near Aldgate High Street,E01000005,City of London 001E,Violence and sexual offences,533675.9694068158,181225.9515725124,POINT (533675.9694068158 181225.9515725124)
109,2021-06,-0.07433,51.513647,On or near Little Somerset Street,E01000005,City of London 001E,Violence and sexual offences,533721.0176646702,181171.05179569608,POINT (533721.0176646702 181171.05179569608)
110,2021-06,-0.073254,51.512856,On or near Mansell Street,E01000005,City of London 001E,Violence and sexual offences,533797.9920780913,181085.05554956,POINT (533797.9920780913 181085.05554956)
111,2021-06,-0.07433,51.513647,On or near Little Somerset Street,E01000005,City of London 001E,Violence and sexual offences,533721.0176646702,181171.05179569608,POINT (533721.0176646702 181171.05179569608)
386,2021-06,-0.08776,51.517148999999996,On or near London Wall,E01032739,City of London 001F,Violence and sexual offences,532778.9967690599,181536.04965255776,POINT (532778.9967690599 181536.04965255776)
387,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
388,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
389,2021-06,-0.08971599999999999,51.514501,On or near Prince'S Street,E01032739,City of London 001F,Violence and sexual offences,532650.9762237258,181238.03963773925,POINT (532650.9762237258 181238.03963773925)
390,2021-06,-0.082458,51.517431,On or near Liverpool Street,E01032739,City of London 001F,Violence and sexual offences,533146.0278776218,181577.03479509754,POINT (533146.0278776218 181577.03479509754)
391,2021-06,-0.082628,51.518189,On or near Sun Street Passage,E01032739,City of London 001F,Violence and sexual offences,533132.0247356194,181661.0175745258,POINT (533132.0247356194 181661.0175745258)
392,2021-06,-0.084967,51.512598,On or near Bell Inn Yard,E01032739,City of London 001F,Violence and sexual offences,532986.0188934281,181035.032561849,POINT (532986.0188934281 181035.032561849)
393,2021-06,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Violence and sexual offences,533330.986923037,181598.02039484447,POINT (533330.986923037 181598.02039484447)
394,2021-06,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Violence and sexual offences,533330.986923037,181598.02039484447,POINT (533330.986923037 181598.02039484447)
395,2021-06,-0.078749,51.520984999999996,On or near Norton Folgate,E01032739,City of London 001F,Violence and sexual offences,533392.9800145016,181978.99956417043,POINT (533392.9800145016 181978.99956417043)
396,2021-06,-0.088995,51.512088,On or near St Swithin'S Lane,E01032739,City of London 001F,Violence and sexual offences,532708.0091989241,180971.01301046158,POINT (532708.0091989241 180971.01301046158)
397,2021-06,-0.097973,51.512108000000005,On or near Distaff Lane,E01032739,City of London 001F,Violence and sexual offences,532084.9878292051,180957.00795920717,POINT (532084.9878292051 180957.00795920717)
398,2021-06,-0.078308,51.518091,On or near Widegate Street,E01032739,City of London 001F,Violence and sexual offences,533432.0255864972,181657.98171621922,POINT (533432.0255864972 181657.98171621922)
399,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
400,2021-06,-0.08329600000000001,51.517058,On or near Old Broad Street,E01032739,City of London 001F,Violence and sexual offences,533088.9742377307,181534.03291548556,POINT (533088.9742377307 181534.03291548556)
401,2021-06,-0.10195900000000001,51.513296999999994,On or near Carter Lane,E01032739,City of London 001F,Violence and sexual offences,531804.9787489705,181082.04769852024,POINT (531804.9787489705 181082.04769852024)
402,2021-06,-0.098777,51.512526,On or near Knightrider Street,E01032739,City of London 001F,Violence and sexual offences,532027.9924497257,181002.04122686596,POINT (532027.9924497257 181002.04122686596)
403,2021-06,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Violence and sexual offences,533330.986923037,181598.02039484447,POINT (533330.986923037 181598.02039484447)
404,2021-06,-0.10241099999999999,51.512116999999996,On or near Queen Victoria Street,E01032739,City of London 001F,Violence and sexual offences,531777.0187380947,180950.0146668101,POINT (531777.0187380947 180950.0146668101)
405,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
406,2021-06,-0.096385,51.510787,On or near Gardners Lane,E01032739,City of London 001F,Violence and sexual offences,532198.996719561,180812.97373405198,POINT (532198.996719561 180812.97373405198)
407,2021-06,-0.092321,51.513194,On or near Pancras Lane,E01032739,City of London 001F,Violence and sexual offences,532474.0194353946,181087.9823533552,POINT (532474.0194353946 181087.9823533552)
408,2021-06,-0.092321,51.513194,On or near Pancras Lane,E01032739,City of London 001F,Violence and sexual offences,532474.0194353946,181087.9823533552,POINT (532474.0194353946 181087.9823533552)
409,2021-06,-0.083755,51.514358,On or near Threadneedle Street,E01032739,City of London 001F,Violence and sexual offences,533064.9909957922,181232.95100102626,POINT (533064.9909957922 181232.95100102626)
410,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
411,2021-06,-0.077777,51.518046000000005,On or near Sandy'S Row,E01032739,City of London 001F,Violence and sexual offences,533468.9970314968,181653.94518321543,POINT (533468.9970314968 181653.94518321543)
412,2021-06,-0.094628,51.514203,On or near Cheapside,E01032739,City of London 001F,Violence and sexual offences,532311.0243018698,181196.01599001262,POINT (532311.0243018698 181196.01599001262)
413,2021-06,-0.08162,51.516814000000004,On or near Alderman'S Walk,E01032739,City of London 001F,Violence and sexual offences,533205.9666559591,181509.94644216687,POINT (533205.9666559591 181509.94644216687)
